step,tokens_per_second,model
1856,1153049.2414557806,LN
1858,1149853.7584597107,LN
1861,1149179.951395271,LN
1862,1152020.7327759268,LN
1863,1153128.2475250915,LN
1864,1151286.5175174498,LN
1865,1155370.7211552674,LN
1866,1155626.5413719383,LN
1867,1154527.9640019292,LN
1869,1156069.6372843147,LN
1872,1152564.961322307,LN
1873,1157130.5582119797,LN
1874,1154031.9435630643,LN
1875,1155624.921900411,LN
1876,1149235.2042812346,LN
1878,1158196.6814962963,LN
1879,1157825.9159761088,LN
1883,1158634.4252264556,LN
1884,1157363.6049321378,LN
1887,1151627.3729096537,LN
1893,1156251.996587191,LN
1894,1154683.1588968649,LN
1896,1155360.199331415,LN
1898,1159989.6199269234,LN
1899,1158411.443771721,LN
1900,1156939.805859241,LN
1901,1156796.1743287602,LN
1904,1156898.4168451887,LN
1905,1153508.111479776,LN
1906,1158961.7286066045,LN
1909,1155373.9586780854,LN
1910,1155531.8099209685,LN
1911,1155952.1473211,LN
1912,1157076.1670886609,LN
1918,1157032.333188114,LN
1919,1157399.3416483214,LN
1920,1154006.104020034,LN
1921,1158132.430991345,LN
1923,1156629.0548485685,LN
1924,1155944.8556277466,LN
1926,1156917.0821123605,LN
1928,1157918.585099885,LN
1932,1149278.4493765356,LN
